Index,App name,Source file,Buggy method,Fixing version,Anti-pattern,Issue report/pull request,Issue site
90,AntennaPod,PlaybackService.java,setupNotification,755bdc5,Image decoding without resizing,Issue-1464;Pull-1465,https://github.com/AntennaPod/AntennaPod/pull/1465
91,AntennaPod,MediaplayerActivity.java,onTrimMemory; onLowMemory,755bdc5,Unbounded image caching,Issue-1464;Pull-1465,https://github.com/AntennaPod/AntennaPod/pull/1465
92,AntennaPod,PlaybackServiceMediaPlayer.java,updateMediaSessionMetadata,755bdc5,Image decoding without resizing,Issue-1464;Pull-1465,https://github.com/AntennaPod/AntennaPod/pull/1465
93,Antox,AvatarDialog.scala,resizeAvatar,f374b2a,Image decoding without resizing,Issue-151;Pull-152,https://github.com/Antox/Antox/issues/151
94,Andstatus,AttachedImageDrawable.java,drawableFromPath,4b61b2d,Loop-based redundant image decoding,Issue-303,https://github.com/andstatus/andstatus/issues/303
95,Andstatus,TimelineAdapter.java,showAttachedImage,4e70d74,Image decoding in UI event handlers,Issue-303,https://github.com/andstatus/andstatus/issues/303
96,Andstatus,ConversationViewAdapter.java,setIndent,4e70d74,Image decoding in UI event handlers,Issue-303,https://github.com/andstatus/andstatus/issues/303
97,Andstatus,MyImageCache.java,initialize; ,5d7ae82,,Issue-303,https://github.com/andstatus/andstatus/issues/303
98,Andstatus,AttachedImageDrawable.java,getDrawable,74b492f,Image decoding without resizing,Issue-179,https://github.com/andstatus/andstatus/issues/179
99,Andstatus,MyImageCache.java,initializeAttachedImagesCache; initializeAvatarsCache,526771b,,Issue-351,https://github.com/andstatus/andstatus/issues/351
100,MPDroid,AlbumDataBinder.java,onDataBind,8feba97,Loop-based redundant image decoding,Pull-212,https://github.com/abarisain/dmix/pull/212
101,Atarashii,ImageDownloader.java,download,2a2c1fa,Unbounded image caching,Issue-6,https://github.com/AnimeNeko/Atarashii/issues/6
102,Atarashii,ImageDownloader.java,returnDrawable,2a2c1fa,Unbounded image caching,Issue-6,https://github.com/AnimeNeko/Atarashii/issues/6
103,Atarashii,CoverAdapter.java,onPostExecute,2a2c1fa,Unbounded image caching,Issue-6,https://github.com/AnimeNeko/Atarashii/issues/6
104,Squeezer,ImageCache.java,initDiskCache,2a2c1fa,,Issue-171,https://github.com/nikclayton/android-squeezer/issues/171
105,Easy xkcd,OfflineComic.java,getBitmap,a541c1b,,Issue-8,https://github.com/T-Rex96/Easy_xkcd/issues/8
106,Cyclestreets,Bitmaps.java,resizePhoto,ee99676,,Issue-53;Pull-56,https://github.com/cyclestreets/android/pull/56
107,Opennotescanner,FullScreenImageAdapter.java,instantiateItem,353b19b,,Issue-27,https://github.com/ctodobom/OpenNoteScanner/issues/27
108,Opennotescanner,OpenNoteScannerActivity.java,onCreate,af6d069,Image decoding in UI event handlers,Issue-7,https://github.com/ctodobom/OpenNoteScanner/issues/7
109,Opennotescanner,FullScreenImageAdapter.java,instantiateItem,2909db4,Image decoding without resizing,Issue-12,https://github.com/ctodobom/OpenNoteScanner/issues/12
110,Opennotescanner,OpenNoteScannerActivity.java,run,2909db4,Image decoding without resizing,Issue-12,https://github.com/ctodobom/OpenNoteScanner/issues/12
111,Opennotescanner,OpenNoteScannerActivity.java,run,2909db4,,Issue-12,https://github.com/ctodobom/OpenNoteScanner/issues/12
112,Opennotescanner,OpenNoteScannerActivity.java,onAnimationEnd,2909db4,,Issue-12,https://github.com/ctodobom/OpenNoteScanner/issues/12
113,Opennotescanner,OpenNoteScannerActivity.java,run,2909db4,,Issue-12,https://github.com/ctodobom/OpenNoteScanner/issues/12
114,The-blue-alliance,BaseNotification.java,getBaseBuilder,3cd0b3a,Image decoding without resizing,Issue-588,https://github.com/the-blue-alliance/the-blue-alliance-android/issues/588
115,NewsBlur,CleanupService.java,exec,7e7aae0,Unbounded image caching,Issue-922; Pull-938,https://github.com/samuelclay/NewsBlur/issues/922
